Origin Country,Destination Country,Intermediate Nodes,Transaction Type,Transaction Currency,Tax Treaty Applicable,Tax Evasion Risk Index
France,USA,Ireland,Acquisition,EUR,Yes,19.71343618729146
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,70.0
UK,China,Singapore,Acquisition,GBP,Yes,15.843629793464983
Netherlands,India,Mauritius,Royalty,EUR,Yes,21.772564277966133
Switzerland,Brazil,Singapore,Investment,CHF,No,50.21432358112155
USA,India,Netherlands;Singapore,Investment,USD,Yes,24.60629863801803
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,58.13761643911023
USA,UK,Ireland,Acquisition,USD,Yes,10.0
UK,China,Hong Kong,Intercompany Loan,GBP,No,65.54764970795536
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,70.0
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,14.188040398709319
UK,China,Singapore,Acquisition,GBP,Yes,13.3397097480224
UK,China,Hong Kong,Intercompany Loan,GBP,No,63.868254410026935
Germany,China,Hong Kong,Royalty,EUR,No,55.28308960477961
France,South Africa,Mauritius,Royalty,EUR,No,55.27149800800154
Netherlands,India,Mauritius,Royalty,EUR,Yes,21.228638208972605
Canada,Mexico,Cayman Islands,Investment,CAD,No,69.46161883748702
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,60.37910199527447
USA,South Africa,Ireland,Dividend,USD,Yes,29.905253195781423
Japan,USA,Ireland,Intercompany Loan,JPY,Yes,22.363397379426882
USA,South Africa,Ireland,Dividend,USD,Yes,31.916330615404934
Netherlands,India,Mauritius,Royalty,EUR,Yes,18.639533098469176
Switzerland,Brazil,Singapore,Investment,CHF,No,48.87579340737235
USA,India,Netherlands;Singapore,Investment,USD,Yes,26.07801629759886
USA,India,Netherlands;Singapore,Investment,USD,Yes,26.353710458913593
Canada,China,Hong Kong,Acquisition,CAD,No,65.33938637719059
Japan,USA,Ireland,Intercompany Loan,JPY,Yes,26.523758060111337
Japan,India,Singapore,Royalty,JPY,No,49.10112274058384
Germany,China,Hong Kong,Royalty,EUR,No,55.773011769474316
Netherlands,India,Mauritius,Royalty,EUR,Yes,21.702446084609903
Switzerland,Brazil,Singapore,Investment,CHF,No,49.01092622705445
France,USA,Ireland,Acquisition,EUR,Yes,20.293691657143057
Japan,USA,Ireland,Intercompany Loan,JPY,Yes,23.9051072440104
Canada,Mexico,Cayman Islands,Investment,CAD,No,69.06255503579294
UK,China,Hong Kong,Intercompany Loan,GBP,No,65.21295351954286
UK,China,Singapore,Acquisition,GBP,Yes,15.227221606198663
UK,India,Singapore,Investment,GBP,Yes,35.77692034968311
Germany,China,Hong Kong,Royalty,EUR,No,55.097704995698024
Japan,India,Singapore,Royalty,JPY,No,50.24112265063544
Canada,Mexico,Cayman Islands,Investment,CAD,No,70.0
France,South Africa,Mauritius,Royalty,EUR,No,53.93565296848926
USA,South Africa,Ireland,Dividend,USD,Yes,28.40867788565606
Japan,India,Singapore,Royalty,JPY,No,50.88859576999688
Japan,India,Singapore,Royalty,JPY,No,48.815278551953796
Japan,USA,Ireland,Intercompany Loan,JPY,Yes,25.692826608088303
Canada,Mexico,Cayman Islands,Investment,CAD,No,70.0
USA,India,Netherlands;Singapore,Investment,USD,Yes,25.28580243784885
USA,India,Netherlands;Singapore,Investment,USD,Yes,24.243716979498206
USA,South Africa,Ireland,Dividend,USD,Yes,29.76729401356365
France,South Africa,Mauritius,Royalty,EUR,No,54.731214180253986
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,40.419498341800804
Netherlands,India,Mauritius,Royalty,EUR,Yes,20.46733236625796
Germany,China,Hong Kong,Royalty,EUR,No,54.92984996979414
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,70.0
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,15.749245452629987
USA,South Africa,Ireland,Dividend,USD,Yes,29.33984151139687
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,60.25564343399175
Netherlands,India,Mauritius,Royalty,EUR,Yes,19.455125282881767
UK,China,Hong Kong,Intercompany Loan,GBP,No,65.19556708851032
Canada,Mexico,Cayman Islands,Investment,CAD,No,70.0
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,38.77284356825618
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,60.12319794810986
Canada,China,Hong Kong,Acquisition,CAD,No,64.49993067283475
USA,India,Netherlands;Singapore,Investment,USD,Yes,24.815995851827058
Canada,China,Hong Kong,Acquisition,CAD,No,65.48510523635059
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,70.0
Japan,USA,Ireland,Intercompany Loan,JPY,Yes,25.58138696543046
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,60.13001540774112
Canada,China,Hong Kong,Acquisition,CAD,No,65.56862184126213
Japan,USA,Ireland,Intercompany Loan,JPY,Yes,25.942162924785034
UK,China,Hong Kong,Intercompany Loan,GBP,No,65.63515429705339
France,South Africa,Mauritius,Royalty,EUR,No,54.39530212487732
Germany,China,Hong Kong,Royalty,EUR,No,56.813331444302676
USA,South Africa,Ireland,Dividend,USD,Yes,29.548423756342306
Germany,Brazil,Luxembourg,Dividend,EUR,Yes,27.55058383882541
Japan,USA,Ireland,Intercompany Loan,JPY,Yes,24.906406460184023
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,59.71460848604229
UK,China,Singapore,Acquisition,GBP,Yes,13.907155184477116
UK,China,Singapore,Acquisition,GBP,Yes,14.428194544380931
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,16.883311454941314
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,60.543110150983466
Japan,India,Singapore,Royalty,JPY,No,49.537823649963876
Japan,India,Singapore,Royalty,JPY,No,48.69078576410428
USA,UK,Ireland,Acquisition,USD,Yes,10.0
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,70.0
Japan,USA,Ireland,Intercompany Loan,JPY,Yes,23.797899158434472
France,South Africa,Mauritius,Royalty,EUR,No,55.34373183432115
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,62.71343850703895
USA,South Africa,Ireland,Dividend,USD,Yes,30.16660678923255
France,South Africa,Mauritius,Royalty,EUR,No,55.637369348953335
Switzerland,Brazil,Singapore,Investment,CHF,No,49.551282458424964
USA,UK,Ireland,Acquisition,USD,Yes,10.0
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,70.0
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,40.08288709124587
USA,South Africa,Ireland,Dividend,USD,Yes,29.941498628950182
Switzerland,Brazil,Singapore,Investment,CHF,No,51.184589528348425
UK,India,Singapore,Investment,GBP,Yes,34.489190188521476
Japan,USA,Ireland,Intercompany Loan,JPY,Yes,25.330755681769055
Germany,Brazil,Luxembourg,Dividend,EUR,Yes,29.665984492986208
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,40.03193066765719
Canada,Mexico,Cayman Islands,Investment,CAD,No,69.8160461886403
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,68.25236142939463
USA,UK,Ireland,Acquisition,USD,Yes,10.410231282419236
UK,China,Hong Kong,Intercompany Loan,GBP,No,65.47002046732679
USA,South Africa,Ireland,Dividend,USD,Yes,30.495795946108565
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,39.13729051849487
Japan,USA,Ireland,Intercompany Loan,JPY,Yes,24.74768974880829
Germany,Brazil,Luxembourg,Dividend,EUR,Yes,28.85815398155695
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,13.112514077667356
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,39.78088345375114
Japan,USA,Ireland,Intercompany Loan,JPY,Yes,24.269699047257422
USA,UK,Ireland,Acquisition,USD,Yes,10.143901723466156
Germany,China,Hong Kong,Royalty,EUR,No,54.474751658198336
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,70.0
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,16.70764131963541
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,70.0
Japan,India,Singapore,Royalty,JPY,No,50.12701288804212
Germany,China,Hong Kong,Royalty,EUR,No,54.85003724388521
USA,South Africa,Ireland,Dividend,USD,Yes,30.85261386543814
Japan,India,Singapore,Royalty,JPY,No,49.481463626614804
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,15.096591584997212
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,59.29599863138289
Germany,China,Hong Kong,Royalty,EUR,No,54.03388274862728
Japan,USA,Ireland,Intercompany Loan,JPY,Yes,25.121938331762365
Japan,India,Singapore,Royalty,JPY,No,50.169359897016435
Switzerland,Brazil,Singapore,Investment,CHF,No,50.33005009776394
Japan,India,Singapore,Royalty,JPY,No,49.827474566116095
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,16.485018294281463
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,60.435746367637364
UK,China,Singapore,Acquisition,GBP,Yes,15.117561369541793
Switzerland,Brazil,Singapore,Investment,CHF,No,48.47359463788752
France,South Africa,Mauritius,Royalty,EUR,No,55.65725636751685
Canada,Mexico,Cayman Islands,Investment,CAD,No,69.7838737625182
France,USA,Ireland,Acquisition,EUR,Yes,20.34226867061831
UK,India,Singapore,Investment,GBP,Yes,35.03964488621392
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,59.687863919715525
Canada,Mexico,Cayman Islands,Investment,CAD,No,70.0
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,39.32886315119123
USA,India,Netherlands;Singapore,Investment,USD,Yes,24.503721429104623
Canada,Mexico,Cayman Islands,Investment,CAD,No,70.0
Japan,India,Singapore,Royalty,JPY,No,52.11664857282538
UK,China,Singapore,Acquisition,GBP,Yes,15.85075463398552
USA,India,Netherlands;Singapore,Investment,USD,Yes,24.62989044084481
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,40.027534926222756
Canada,Mexico,Cayman Islands,Investment,CAD,No,69.72805567129755
Netherlands,India,Mauritius,Royalty,EUR,Yes,19.77569414916634
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,40.663522157486916
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,68.77651549251345
USA,UK,Ireland,Acquisition,USD,Yes,10.0
Canada,Mexico,Cayman Islands,Investment,CAD,No,70.0
Netherlands,India,Mauritius,Royalty,EUR,Yes,19.984476004412155
Japan,USA,Ireland,Intercompany Loan,JPY,Yes,24.063751812652555
Netherlands,India,Mauritius,Royalty,EUR,Yes,19.081300093669473
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,60.212674118228364
UK,China,Hong Kong,Intercompany Loan,GBP,No,65.08604113342402
France,South Africa,Mauritius,Royalty,EUR,No,55.63728711852485
Switzerland,Brazil,Singapore,Investment,CHF,No,48.52770196341487
UK,India,Singapore,Investment,GBP,Yes,33.14614661006085
USA,South Africa,Ireland,Dividend,USD,Yes,27.416348774888693
UK,India,Singapore,Investment,GBP,Yes,35.585330104841994
UK,India,Singapore,Investment,GBP,Yes,34.32993836238542
Switzerland,Brazil,Singapore,Investment,CHF,No,49.754422421810176
UK,China,Hong Kong,Intercompany Loan,GBP,No,64.88367451698397
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,14.623485843834906
Germany,Brazil,Luxembourg,Dividend,EUR,Yes,29.838720272313026
USA,UK,Ireland,Acquisition,USD,Yes,10.478579489066881
France,USA,Ireland,Acquisition,EUR,Yes,19.218751765005116
UK,China,Hong Kong,Intercompany Loan,GBP,No,66.08465886006911
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,68.16371907446236
Japan,India,Singapore,Royalty,JPY,No,51.56071781298188
USA,India,Netherlands;Singapore,Investment,USD,Yes,25.455789758743094
Switzerland,Brazil,Singapore,Investment,CHF,No,47.92184525600757
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,70.0
Switzerland,Brazil,Singapore,Investment,CHF,No,52.166205735047654
UK,India,Singapore,Investment,GBP,Yes,35.26384107527489
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,60.915434251455906
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,39.70791360971556
Switzerland,Brazil,Singapore,Investment,CHF,No,47.3480114211897
UK,India,Singapore,Investment,GBP,Yes,32.68193831174781
Switzerland,Brazil,Singapore,Investment,CHF,No,49.251299999316146
Japan,India,Singapore,Royalty,JPY,No,51.56073941933545
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,69.87053172534932
Switzerland,Brazil,Singapore,Investment,CHF,No,50.32467728296059
Netherlands,India,Mauritius,Royalty,EUR,Yes,20.173766430434867
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,70.0
Germany,Brazil,Luxembourg,Dividend,EUR,Yes,29.40410912665683
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,16.826997058383252
Germany,Brazil,Luxembourg,Dividend,EUR,Yes,31.29167258549205
USA,UK,Ireland,Acquisition,USD,Yes,11.1536625816757
Canada,Mexico,Cayman Islands,Investment,CAD,No,70.0
Germany,China,Hong Kong,Royalty,EUR,No,56.338056612272275
UK,India,Singapore,Investment,GBP,Yes,35.20135774428348
UK,China,Singapore,Acquisition,GBP,Yes,14.735209340587778
France,USA,Ireland,Acquisition,EUR,Yes,20.548156484035943
Canada,Mexico,Cayman Islands,Investment,CAD,No,70.0
Switzerland,Brazil,Singapore,Investment,CHF,No,48.550445583130035
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,14.669259240159978
Germany,China,Hong Kong,Royalty,EUR,No,55.489314794452596
Germany,China,Hong Kong,Royalty,EUR,No,55.80996821246937
USA,UK,Ireland,Acquisition,USD,Yes,10.0
Germany,China,Hong Kong,Royalty,EUR,No,54.81015715841115
Germany,China,Hong Kong,Royalty,EUR,No,55.72003915696338
USA,India,Netherlands;Singapore,Investment,USD,Yes,22.942813186144832
Canada,Mexico,Cayman Islands,Investment,CAD,No,70.0
France,USA,Ireland,Acquisition,EUR,Yes,21.831535662875332
USA,India,Netherlands;Singapore,Investment,USD,Yes,23.290314112427687
Netherlands,India,Mauritius,Royalty,EUR,Yes,19.74327543949057
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,40.912077790503034
Canada,Mexico,Cayman Islands,Investment,CAD,No,70.0
France,USA,Ireland,Acquisition,EUR,Yes,19.67317085796122
UK,India,Singapore,Investment,GBP,Yes,35.43969642459945
Japan,India,Singapore,Royalty,JPY,No,51.23374361790308
UK,China,Singapore,Acquisition,GBP,Yes,14.918392934294
Japan,India,Singapore,Royalty,JPY,No,51.37272911054229
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,15.170534708743723
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,69.44215399049591
Japan,India,Singapore,Royalty,JPY,No,48.3226401353231
Netherlands,India,Mauritius,Royalty,EUR,Yes,20.034791825650224
Canada,China,Hong Kong,Acquisition,CAD,No,65.34944999867012
Canada,Mexico,Cayman Islands,Investment,CAD,No,69.54100183021069
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,40.735490918854104
USA,UK,Ireland,Acquisition,USD,Yes,10.28805187372032
UK,China,Singapore,Acquisition,GBP,Yes,15.00507564987387
France,South Africa,Mauritius,Royalty,EUR,No,56.5157842716678
Japan,USA,Ireland,Intercompany Loan,JPY,Yes,25.587230138016462
USA,UK,Ireland,Acquisition,USD,Yes,10.0
UK,China,Singapore,Acquisition,GBP,Yes,14.674714470881124
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,60.84895812498949
Japan,India,Singapore,Royalty,JPY,No,50.671126417362245
Germany,Brazil,Luxembourg,Dividend,EUR,Yes,30.114186764628666
Canada,Mexico,Cayman Islands,Investment,CAD,No,69.4503090792098
Netherlands,India,Mauritius,Royalty,EUR,Yes,19.638856356156225
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,15.855772708849353
USA,UK,Ireland,Acquisition,USD,Yes,10.027561659060492
Switzerland,Brazil,Singapore,Investment,CHF,No,47.561093477399304
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,58.62923718087763
Germany,China,Hong Kong,Royalty,EUR,No,55.66938192148426
Japan,India,Singapore,Royalty,JPY,No,50.29683395427815
Switzerland,Brazil,Singapore,Investment,CHF,No,49.29630889868564
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,41.99909782230822
France,South Africa,Mauritius,Royalty,EUR,No,56.850375924314385
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,70.0
UK,China,Hong Kong,Intercompany Loan,GBP,No,64.91108060985096
Canada,China,Hong Kong,Acquisition,CAD,No,67.05334441965437
UK,China,Singapore,Acquisition,GBP,Yes,15.229676573087918
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,14.163851239450187
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,41.03433133765778
Germany,China,Hong Kong,Royalty,EUR,No,55.7869286482796
France,South Africa,Mauritius,Royalty,EUR,No,53.99592815107997
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,40.609807704077596
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,40.84706795297108
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,14.911453610078194
Switzerland,Brazil,Singapore,Investment,CHF,No,47.74685342065747
UK,China,Hong Kong,Intercompany Loan,GBP,No,66.30581379050082
Canada,Mexico,Cayman Islands,Investment,CAD,No,68.81951192843303
USA,UK,Ireland,Acquisition,USD,Yes,10.0
UK,China,Singapore,Acquisition,GBP,Yes,15.451938522089375
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,69.78076431956687
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,38.727555226556824
Switzerland,Brazil,Singapore,Investment,CHF,No,49.24226175278962
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,60.1549971354467
Canada,China,Hong Kong,Acquisition,CAD,No,64.21484073794292
Canada,China,Hong Kong,Acquisition,CAD,No,63.197766307318
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,14.4182706091015
Japan,USA,Ireland,Intercompany Loan,JPY,Yes,25.162535260635142
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,40.916961860754235
UK,China,Hong Kong,Intercompany Loan,GBP,No,65.29415591531068
USA,India,Netherlands;Singapore,Investment,USD,Yes,24.082470841415876
UK,China,Singapore,Acquisition,GBP,Yes,16.443856882807278
USA,South Africa,Ireland,Dividend,USD,Yes,30.22122871021511
USA,UK,Ireland,Acquisition,USD,Yes,11.385482562608686
France,South Africa,Mauritius,Royalty,EUR,No,55.55472227408038
USA,South Africa,Ireland,Dividend,USD,Yes,29.855669229674536
Japan,USA,Ireland,Intercompany Loan,JPY,Yes,25.017044392383553
USA,UK,Ireland,Acquisition,USD,Yes,10.395663065563367
Canada,China,Hong Kong,Acquisition,CAD,No,63.7527107504629
UK,China,Hong Kong,Intercompany Loan,GBP,No,65.31133400706334
Canada,Mexico,Cayman Islands,Investment,CAD,No,68.94385723212979
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,14.802328544314895
Netherlands,India,Mauritius,Royalty,EUR,Yes,19.287809539601454
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,59.39947132972842
UK,India,Singapore,Investment,GBP,Yes,35.067973652440365
Canada,Mexico,Cayman Islands,Investment,CAD,No,69.91676664813644
Germany,China,Hong Kong,Royalty,EUR,No,55.16168654279722
France,South Africa,Mauritius,Royalty,EUR,No,54.44582627995986
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,40.86788826027588
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,39.3432458328728
UK,China,Singapore,Acquisition,GBP,Yes,14.406182466748268
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,14.802781578595832
UK,India,Singapore,Investment,GBP,Yes,34.99409539514872
France,South Africa,Mauritius,Royalty,EUR,No,53.7862013223623
Netherlands,India,Mauritius,Royalty,EUR,Yes,19.88158457484484
Germany,Brazil,Luxembourg,Dividend,EUR,Yes,29.518277139956044
France,South Africa,Mauritius,Royalty,EUR,No,52.92624923460777
Germany,China,Hong Kong,Royalty,EUR,No,55.047845947295855
Canada,Mexico,Cayman Islands,Investment,CAD,No,70.0
UK,China,Hong Kong,Intercompany Loan,GBP,No,63.00739633487094
Japan,India,Singapore,Royalty,JPY,No,51.20324149413373
UK,China,Hong Kong,Intercompany Loan,GBP,No,65.44390500326176
Canada,China,Hong Kong,Acquisition,CAD,No,64.04635602957165
Canada,China,Hong Kong,Acquisition,CAD,No,64.46522477143796
USA,UK,Ireland,Acquisition,USD,Yes,10.0
Germany,Brazil,Luxembourg,Dividend,EUR,Yes,29.656928322616597
Canada,Mexico,Cayman Islands,Investment,CAD,No,70.0
USA,India,Netherlands;Singapore,Investment,USD,Yes,25.54081335074496
Canada,China,Hong Kong,Acquisition,CAD,No,65.14938070538
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,59.09566829095944
Switzerland,Brazil,Singapore,Investment,CHF,No,51.284195671306044
UK,China,Hong Kong,Intercompany Loan,GBP,No,64.77673553898147
Germany,China,Hong Kong,Royalty,EUR,No,55.569861843877675
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,70.0
Japan,India,Singapore,Royalty,JPY,No,49.03347092483047
USA,UK,Ireland,Acquisition,USD,Yes,10.0
USA,South Africa,Ireland,Dividend,USD,Yes,27.842906095861768
Canada,Mexico,Cayman Islands,Investment,CAD,No,68.92904081585213
UK,China,Singapore,Acquisition,GBP,Yes,12.83875577746989
France,South Africa,Mauritius,Royalty,EUR,No,54.4241184881619
Canada,Mexico,Cayman Islands,Investment,CAD,No,70.0
Switzerland,Brazil,Singapore,Investment,CHF,No,52.152609152270976
France,South Africa,Mauritius,Royalty,EUR,No,54.689051039522894
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,70.0
Canada,Mexico,Cayman Islands,Investment,CAD,No,70.0
UK,China,Hong Kong,Intercompany Loan,GBP,No,64.25145707414013
Canada,Mexico,Cayman Islands,Investment,CAD,No,69.82732319508986
Switzerland,Brazil,Singapore,Investment,CHF,No,50.775801906559664
Germany,China,Hong Kong,Royalty,EUR,No,54.68784331524131
Netherlands,India,Mauritius,Royalty,EUR,Yes,19.70834165160873
USA,UK,Ireland,Acquisition,USD,Yes,10.108175440387507
UK,China,Singapore,Acquisition,GBP,Yes,14.477639370889188
Japan,India,Singapore,Royalty,JPY,No,50.1879630269615
France,South Africa,Mauritius,Royalty,EUR,No,53.90091463971638
France,South Africa,Mauritius,Royalty,EUR,No,57.09430059199506
USA,India,Netherlands;Singapore,Investment,USD,Yes,24.872815060461694
Japan,India,Singapore,Royalty,JPY,No,50.02302486183439
UK,China,Singapore,Acquisition,GBP,Yes,17.78203421963632
Germany,China,Hong Kong,Royalty,EUR,No,55.02534814927367
USA,UK,Ireland,Acquisition,USD,Yes,10.402843472076777
France,USA,Ireland,Acquisition,EUR,Yes,20.945078269015312
Netherlands,India,Mauritius,Royalty,EUR,Yes,19.113812554235054
Japan,India,Singapore,Royalty,JPY,No,50.035802527374855
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,41.48518006637734
Germany,Brazil,Luxembourg,Dividend,EUR,Yes,31.564337166187837
France,South Africa,Mauritius,Royalty,EUR,No,56.28169416986224
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,38.2729181064702
USA,UK,Ireland,Acquisition,USD,Yes,10.0
UK,China,Singapore,Acquisition,GBP,Yes,12.302479986045556
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,69.6831135617613
UK,China,Hong Kong,Intercompany Loan,GBP,No,64.37945876354159
USA,South Africa,Ireland,Dividend,USD,Yes,29.246830800579744
Canada,Mexico,Cayman Islands,Investment,CAD,No,69.34906189924665
Japan,India,Singapore,Royalty,JPY,No,47.84329379062713
Switzerland,Brazil,Singapore,Investment,CHF,No,50.67547030990544
USA,South Africa,Ireland,Dividend,USD,Yes,30.29828813064318
UK,India,Singapore,Investment,GBP,Yes,35.457818671274595
Canada,Mexico,Cayman Islands,Investment,CAD,No,70.0
Germany,Brazil,Luxembourg,Dividend,EUR,Yes,30.383956001100955
USA,UK,Ireland,Acquisition,USD,Yes,10.535126066339913
France,USA,Ireland,Acquisition,EUR,Yes,20.71484160338993
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,70.0
France,South Africa,Mauritius,Royalty,EUR,No,54.5770276919534
Netherlands,India,Mauritius,Royalty,EUR,Yes,20.435458224613303
USA,UK,Ireland,Acquisition,USD,Yes,10.417682459864425
Switzerland,Brazil,Singapore,Investment,CHF,No,49.89427335385233
Canada,China,Hong Kong,Acquisition,CAD,No,64.23299565510727
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,70.0
Canada,China,Hong Kong,Acquisition,CAD,No,63.40560975724885
UK,China,Singapore,Acquisition,GBP,Yes,14.349956273945205
USA,South Africa,Ireland,Dividend,USD,Yes,29.919113657974236
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,69.37964253336108
UK,China,Singapore,Acquisition,GBP,Yes,12.698159408529218
Canada,Mexico,Cayman Islands,Investment,CAD,No,68.35355673087494
Germany,China,Hong Kong,Royalty,EUR,No,53.61447775689966
UK,China,Singapore,Acquisition,GBP,Yes,13.401618086228648
USA,India,Netherlands;Singapore,Investment,USD,Yes,26.693872148087095
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,15.83069899742961
USA,UK,Ireland,Acquisition,USD,Yes,10.0
France,South Africa,Mauritius,Royalty,EUR,No,55.97039065664044
UK,China,Singapore,Acquisition,GBP,Yes,16.992758076971533
USA,India,Netherlands;Singapore,Investment,USD,Yes,24.20598625146414
France,USA,Ireland,Acquisition,EUR,Yes,20.44459946602129
France,USA,Ireland,Acquisition,EUR,Yes,21.265266339610086
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,60.91914609872419
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,59.15070541686465
France,USA,Ireland,Acquisition,EUR,Yes,20.694076661498872
Japan,USA,Ireland,Intercompany Loan,JPY,Yes,25.5742778042359
Japan,India,Singapore,Royalty,JPY,No,49.79128556995609
Canada,China,Hong Kong,Acquisition,CAD,No,65.16768655797532
Japan,USA,Ireland,Intercompany Loan,JPY,Yes,26.05358917812842
Germany,Brazil,Luxembourg,Dividend,EUR,Yes,31.070593540349495
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,14.501169041894542
Switzerland,Brazil,Singapore,Investment,CHF,No,48.65652207399396
USA,India,Netherlands;Singapore,Investment,USD,Yes,25.053220476943864
Canada,Mexico,Cayman Islands,Investment,CAD,No,69.11876685930766
Canada,Mexico,Cayman Islands,Investment,CAD,No,70.0
UK,China,Singapore,Acquisition,GBP,Yes,15.818490331803313
Canada,China,Hong Kong,Acquisition,CAD,No,64.78738427184926
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,15.143435204611617
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,14.734233525390499
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,16.533846523773587
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,15.908999090515074
Japan,USA,Ireland,Intercompany Loan,JPY,Yes,23.960467349427635
